ID,target,prompt_label,prompt,PCD SCORE,human_annotator_1,human_annotator_2,human_annotator_3,confidence,majority,gpt-4.1-mini
1,Batman,20_keywords,"dark, black, Gotham, superhero, batmobile, mask, detective, cape, night, armored, leather, cowl, Bat-signal, batwing, tactical, Batarang, gloves, boots, tall, iconic, cartoon",-0.03699171543,1,1,1,3,1,1
2,Batman,15_keywords_1,"cowl, tall, iconic, batmobile, armored, gloves, boots, Batarang, detective, superhero, cape, mask, night, Gotham, cartoon",-0.07348179817,1,1,1,3,1,1
3,Batman,15_keywords_2,"tall, cartoon, detective, Gotham, batwing, leather, tactical, night, cowl, mask, black, boots, batmobile, dark, superhero",-0.005911499262,1,1,1,3,1,1
4,Batman,15_keywords_3,"Batarang, mask, night, cowl, armored, detective, leather, Bat-signal, cape, superhero, batmobile, Gotham, black, iconic, boots",0.01166561246,1,1,1,3,1,1
5,Batman,10_keywords_1,"iconic, dark, tactical, mask, cartoon, superhero, boots, armored, cape, gloves",-0.1072775573,0,0,0,0,0,0
6,Batman,10_keywords_2,"batmobile, batwing, iconic, mask, black, Bat-signal, boots, Batarang, armored, tactical",-0.03542301059,1,1,1,3,1,1
7,Batman,10_keywords_3,"detective, mask, cartoon, iconic, leather, gloves, boots, cape, Bat-signal, black",-0.001350492239,1,1,1,3,1,1
8,Batman,5_keywords_1,"Gotham, tall, night, tactical, cape",-0.09773236513,1,0,0,1,0,0
9,Batman,5_keywords_2,"Bat-signal, Batarang, mask, armored, gloves",-0.07436928153,1,1,0,2,1,1
10,Batman,5_keywords_3,"dark, batmobile, black, Batarang, night",-0.00338435173,0,1,1,2,1,1
11,Batman,1,A mysterious cartoon character in a dark costume with a flowing cape stands against a shadowy urban backdrop.,-0.1698941886,0,0,0,0,0,0
12,Batman,3,"A masked cartoon hero in sleek, dark attire, featuring a cape and a symbolic emblem, roams a nighttime urban alley.",-0.1017996222,1,0,0,1,0,0
13,Batman,5,"A determined cartoon hero sports a pointed dark mask, a distinctive bat-shaped emblem on his chest, a long flowing cape, and a practical belt, standing atop a gothic urban roof.",-0.06068748236,1,1,0,2,1,1
14,Batman,6,"A heroic animated figure in a fitted dark cowl with bat-like ears, an unmistakable bat insignia on his broad chest, and a sweeping cape paired with a utility belt, set amid a stormy city night.",-0.04520073533,1,1,0,2,1,1
15,Batman,8,"An iconic animated hero is depicted with a sleek dark cowl with bat ears, a well-defined bat symbol on his muscular chest, a cascading cape, and a detailed utility belt, all against a brooding nighttime cityscape.",-0.06597943604,1,1,1,3,1,1
16,Batman,11,"A vivid illustration presents a nocturnal guardian with a shadowed cowl complete with bat ears, a striking bat insignia on his chest, a dynamic cape flowing in the wind, and a utility belt packed with gadgets against a vivid urban skyline.",-0.09505417943,1,1,0,2,1,1
17,Batman,12,"A detailed comic rendering shows a heroic figure with a fitted dark cowl sporting distinctive bat ears, a large bat symbol emblazoned across his chest, a dramatic cape, and an intricate utility belt, all set against a rain-soaked, high-rise city background.",-0.1106108427,1,1,1,3,1,1
18,Batman,16,"An intense digital illustration portrays a masked avenger with a tailored dark cowl featuring distinct bat ears, a prominent bat symbol emblazoned on his chest, a long cascading cape, and an intricately designed utility belt, all under a stormy night sky over a dense urban landscape.",-0.07447364926,1,1,1,3,1,1
19,Batman,18,"A high-detail comic illustration features a vigilant masked character in a sleek dark cowl with signature bat ears, an unmistakable large bat emblem on his chest, a dramatic, flowing cape, and a utility belt laden with gadgets, all positioned within a rain-drenched, gothic metropolis.",-0.1263673007,1,1,1,3,1,1
